"Source:","C:\Users\Best Nkhumeleni\Desktop\3088F_group22\STM32 interfacte\STM32 interfacte.kicad_sch"
"Date:","2023/03/06 08:38:08"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","4"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"J1, J3","2","DE9_Receptacle","Custom_SPI_female","","9-pin female receptacle socket D-SUB connector","",""
"U1","1","4014","4014","","","",""
"U2","1","~","Two_pin_female_connecg","","","",""
