"Source:","C:\Users\magzm\OneDrive - University of Cape Town\Documents\Engineering Design\Digital\Digital.kicad_sch"
"Date:","2023/03/06 05:36:37"
"Tool:","Eeschema (7.0.0)"
"Generator:","D:\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","3"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","R1","R","Device:R","","~","",""
"2","1","SW1","SW_DIP_x01","Switch:SW_DIP_x01","","~","",""
"3","1","U1","TMP101","Sensor_Temperature:TMP101","Package_TO_SOT_SMD:SOT-23-6","https://www.ti.com/lit/ds/symlink/tmp101.pdf","",""
